"ID;""TAG"";""RAW"";""TOKENS"";""NSW_TOKEN_INDEX"";""GOLD""",,,,,,,,,
"69;""LSEQ"";""In addition ", prior to the creation of BBC Radio 5 , the station broadcast several sports-based features , most notably Sport on Four and since the creation of BBC Radio 5 Live has become the home of ball-by-ball commentaries of most test cricket matches played by England ," which are broadcast on long wave"";""55"";""29"";NA",,,,,
"70;""LSEQ"";""As a result ", for around 70 days a year ," listeners have to rely on FM broadcasts or increasingly DAB for mainstream Radio 4 broadcasts"";""26"";""16"";NA",,,,,,,
"71;""LSEQ"";""As a result ", for around 70 days a year ," listeners have to rely on FM broadcasts or increasingly DAB for mainstream Radio 4 broadcasts"";""26"";""20"";NA",,,,,,,
"72;""LSEQ"";""The station has also been designated as the UK's national broadcaster in times of national emergency such as a war : if all other radio stations were forced to close "," Radio 4 would still carry on broadcasting"";""38"";""8"";NA",,,,,,,,
"73;""LSEQ"";""The station is available on FM ( in most of Great Britain ", parts of Ireland and the North of France ) , LW ( throughout the United Kingdom and in parts of Northern Europe , and the Atlantic north of the Azores to about 20 degrees west ) , MW ( in some areas ) , DAB , Digital TV ( including Freeview , Freesat , Sky and Virgin Media ) ," and on the Internet"";""77"";""57"";NA"
"74;""LSEQ"";""The station is available on FM ( in most of Great Britain ", parts of Ireland and the North of France ) , LW ( throughout the United Kingdom and in parts of Northern Europe , and the Atlantic north of the Azores to about 20 degrees west ) , MW ( in some areas ) , DAB , Digital TV ( including Freeview , Freesat , Sky and Virgin Media ) ," and on the Internet"";""77"";""5"";NA"
"75;""LSEQ"";""The station is available on FM ( in most of Great Britain ", parts of Ireland and the North of France ) , LW ( throughout the United Kingdom and in parts of Northern Europe , and the Atlantic north of the Azores to about 20 degrees west ) , MW ( in some areas ) , DAB , Digital TV ( including Freeview , Freesat , Sky and Virgin Media ) ," and on the Internet"";""77"";""60"";NA"
"76;""LSEQ"";""The station is available on FM ( in most of Great Britain ", parts of Ireland and the North of France ) , LW ( throughout the United Kingdom and in parts of Northern Europe , and the Atlantic north of the Azores to about 20 degrees west ) , MW ( in some areas ) , DAB , Digital TV ( including Freeview , Freesat , Sky and Virgin Media ) ," and on the Internet"";""77"";""5"";NA"
"77;""LSEQ"";""Section 2 History The BBC Home Service was the predecessor of Radio 4 and broadcast between 1939 and 1967"";""19"";""4"";NA",,,,,,,,,
"78;""LSEQ"";""It had regional variations and was broadcast on medium wave with a network of VHF FM transmitters being added from 1955 onwards"";""22"";""15"";NA",,,,,,,,,
"79;""LSEQ"";""It had regional variations and was broadcast on medium wave with a network of VHF FM transmitters being added from 1955 onwards"";""22"";""14"";NA",,,,,,,,,
"80;""LSEQ"";""Radio 4 replaced the Home Service on 30 September 1967 ", when the BBC renamed many of its domestic radio stations ," in response to the challenge of offshore radio"";""30"";""13"";NA",,
"81;""LSEQ"";""For a time during the 1970s Radio 4 still carried some regional variations for parts of England not served by BBC Local Radio stations"";""24"";""20"";NA",,,,
"82;""LSEQ"";""These included Roundabout East Anglia "," a VHF opt-out of the Today programme broadcast from BBC East's studios in Norwich each weekday morning from 6.45 am to 8.45 am"";""29"";""25"";NA",,,
"83;""LSEQ"";""These included Roundabout East Anglia "," a VHF opt-out of the Today programme broadcast from BBC East's studios in Norwich each weekday morning from 6.45 am to 8.45 am"";""29"";""28"";NA",,,
"84;""LSEQ"";""These included Roundabout East Anglia "," a VHF opt-out of the Today programme broadcast from BBC East's studios in Norwich each weekday morning from 6.45 am to 8.45 am"";""29"";""7"";NA",,,
"85;""LSEQ"";""These included Roundabout East Anglia "," a VHF opt-out of the Today programme broadcast from BBC East's studios in Norwich each weekday morning from 6.45 am to 8.45 am"";""29"";""15"";NA",,,
"86;""LSEQ"";""Roundabout East Anglia came to an end in 1980 "," when local radio services were introduced to East Anglia with the launch of BBC Radio Norfolk"";""26"";""23"";NA",,,
"87;""LSEQ"";""Until 1990 Radio 4's FM frequencies broadcast Open University ", schools programming and the ' Study on 4 ' adult education slot at various times on VHF/FM because until the 1990s , Radio 4 was not available on FM in much of Scotland ," Wales and Northern Ireland"";""48"";""38"";NA",
"88;""LSEQ"";""Until 1990 Radio 4's FM frequencies broadcast Open University ", schools programming and the ' Study on 4 ' adult education slot at various times on VHF/FM because until the 1990s , Radio 4 was not available on FM in much of Scotland ," Wales and Northern Ireland"";""48"";""26"";NA",
"89;""LSEQ"";""Until 1990 Radio 4's FM frequencies broadcast Open University ", schools programming and the ' Study on 4 ' adult education slot at various times on VHF/FM because until the 1990s , Radio 4 was not available on FM in much of Scotland ," Wales and Northern Ireland"";""48"";""4"";NA",
"90;""LSEQ"";""Until 1990 Radio 4's FM frequencies broadcast Open University ", schools programming and the ' Study on 4 ' adult education slot at various times on VHF/FM because until the 1990s , Radio 4 was not available on FM in much of Scotland ," Wales and Northern Ireland"";""48"";""26"";NA",
"91;""LSEQ"";""The launch of Radio 5 in September 1990 saw the removal of all three strands to the new station resulting ", for the first time ," in the full Radio 4 schedule being on FM"";""35"";""34"";NA",,
"92;""LSEQ"";""However ", between 17 January 1991 and 2 March 1991 , the FM broadcasts were replaced by a continuous news service devoted to the Gulf War , nicknamed ' Scud FM ' ," again with the main Radio 4 service being exclusively on long wave"";""45"";""30"";NA"
"93;""LSEQ"";""However ", between 17 January 1991 and 2 March 1991 , the FM broadcasts were replaced by a continuous news service devoted to the Gulf War , nicknamed ' Scud FM ' ," again with the main Radio 4 service being exclusively on long wave"";""45"";""12"";NA"
"94;""LSEQ"";""In September 1991 bosses decided that the main Radio 4 service would be on FM as FM coverage had by now been extended to cover almost all of the UK"";""30"";""14"";NA",,,,
